id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
6KgtcmCF9Ky68XC7ezxl3s,0.827,0.731,4,-5.524,0,0.088,0.13,0.0,0.418,0.607,118.992,172833,4,2
6nGwQVNLVqjUOPdzqIwB7U,0.615,0.633,6,-7.053,1,0.373,0.115,0.0,0.31,0.509,174.075,188752,4,1
36Mtea491T9xLpYuaY86EU,0.882,0.644,10,-8.341,1,0.51,0.103,0.0,0.094,0.475,148.133,155676,4,1
34D6FJysnQioVingDKufuf,0.507,0.429,2,-7.726,1,0.326,0.0518,0.0,0.109,0.0744,91.0,273578,3,1
0sr0YMdDTNNr4Lv4VnI3C8,0.715,0.676,10,-7.869,0,0.1,0.124,0.0,0.0952,0.721,73.462,160000,4,2
11pEKMLmavDu8fxOB5QjbQ,0.518,0.69,9,-6.15,1,0.107,0.128,0.0,0.176,0.59,77.837,205721,4,1
6jy9yJfgCsMHdu2Oz4BGKX,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,178623,4,2
4JPSK2W012QBtOtO3HJl9E,0.633,0.534,1,-8.605,1,0.229,0.0524,0.0,0.189,0.29,155.111,123871,4,1
7CC6UbCs4iGsePSzFxYxNn,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091,4,0
1Ov37jtRQ2YNAe8HzfczkL,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4,1
1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3,0
0whSaAvMslbr9uSEt6pjQy,0.566,0.823,10,-3.903,0,0.29,0.0246,0.695,0.0534,0.773,154.883,118533,5,2
7zQirOExB0VR8yWUOqYeio,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991,145075,4,2
6pmNoWKk0r6zfIjWneJRxR,0.718,0.628,0,-5.334,1,0.373,0.0884,0.0,0.186,0.771,139.769,154433,4,2
3grVoZ10bm2jUGpo7BxpuF,0.685,0.717,0,-6.456,0,0.0411,0.101,1.87e-05,0.266,0.549,127.963,221203,4,1
5S4PZ7AuYlYiVIVik3wHUf,0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952,146006,4,3
3JR2RztQcOjUQGQSybxDIO,0.708,0.598,3,-4.969,0,0.0617,0.202,0.0,0.183,0.561,144.09,161667,4,1
2Q3jFbyE61mCjS3SkW4toJ,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072,269884,4,2
6th8IdY4lYeM0QlSQJhhkp,0.768,0.764,0,-5.82,1,0.0295,0.0963,1.03e-05,0.114,0.472,92.965,170323,4,1
34eF4BoV8FPk0uhAAoqU7h,0.551,0.636,2,-6.798,1,0.054,0.0837,4.28e-06,0.112,0.148,174.065,168276,4,1
42m3eP1JJhtzffal9B136J,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,239635,4,1
6LNoArVBBVZzUTUiAX2aKO,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,339250,4,2
3zWXLPBpMBs9auU1FDPc5G,0.925,0.899,4,-2.936,1,0.13,0.0374,0.0,0.0489,0.703,126.962,153071,4,2
7jvCeWOSnJs2N3spqobWnO,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,203123,4,2
6isTQfKXhNO3EyJd9mSxx8,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92e-06,0.351,0.209,94.103,183241,4,0
1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,164842,4,2
3CiF9D8iuVhZWDvvjf8HpG,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,221240,4,1
0UTyLmkQgPOEIz95OVAJTR,0.667,0.582,11,-5.791,0,0.267,0.00466,0.0,0.124,0.141,121.972,316733,4,1
1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524,4,1
7F9cT6hIRhnFCYP6GKS0tf,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,252379,4,1
1PDP7mLiAMwhfmgIwzhOm2,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,133763,4,0
5ScbulRnixQ2XAdvrPMFjz,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693,229304,3,1
50ceCGZ3oD3U5caQV5bP6f,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823,213104,5,2
7uQZVznj0uQOGC9KhV2Mg6,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,200690,4,2
1irAliF0T8sLIOPJp6n7rU,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,187684,4,2
0Iuw6WPws324i7G7sCejTX,0.469,0.673,6,-8.015,1,0.0337,0.418,1.41e-05,0.119,0.578,175.954,174838,4,3
6d8HN8MqqbqrEUI2bvx0aG,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,297000,4,3
1DbVwjG3DKL2uXS29FoOue,0.699,0.243,9,-15.821,0,0.0435,0.164,0.821,0.102,0.48,115.977,153159,4,1
1cCXT1cErAY6tmIqHbodrt,0.473,0.53,0,-8.506,1,0.249,0.812,6.92e-06,0.227,0.637,74.732,351220,3,3
5LuXsO34x6KVlL8OWsxRqk,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,204630,5,1
1jgcODbfAL3tV7tikF6n1j,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,148.07,147669,4,1
0JuSGEldfovcc8IS9va1wa,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,242400,4,1
35acXjupfWHgtchiS6yAjC,0.459,0.431,9,-8.375,0,0.256,0.795,0.0,0.274,0.128,177.3,195170,4,0
1LwdWIbfuqlOo8vlHxkyna,0.477,0.713,1,-6.805,1,0.126,0.0984,0.00844,0.0879,0.113,106.137,538537,5,1
40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,184213,4,1
